0,5.004,828.8
1,5.003,828.7
2,5.000,830.5
3,4.991,828.4
4,4.980,828.0
5,4.967,819.8
6,4.950,822.2
7,4.930,821.1
8,4.907,819.3
9,4.880,820.0
10,4.850,819.2
11,4.817,820.4
12,4.817,821.4
13,4.741,820.2
14,4.741,822.5
15,4.653,830.3
16,4.608,831.6
17,4.608,832.2
18,4.518,836.1
19,4.471,836.1
20,4.427,821.3
21,4.382,820.9
22,4.335,821.9
23,4.335,822.1
24,4.291,821.5
25,4.201,821.3
26,4.155,822.3
27,4.155,822.4
28,4.066,823.1
29,4.066,822.3
30,3.976,822.3
31,3.930,821.3
32,3.885,822.6
33,3.840,821.6
34,3.793,822.6
35,3.749,821.9
36,3.704,823.7
37,3.657,823.0
38,3.612,822.0
39,3.568,822.7
40,3.522,822.8
41,3.476,823.0
42,3.432,822.9
43,3.385,821.3
44,3.340,823.4
45,3.340,822.4
46,3.249,822.4
47,3.204,821.8
48,3.159,822.8
49,3.114,822.6
50,3.068,821.9
51,3.024,823.6
52,2.978,823.4
53,2.932,821.9
54,2.887,823.5
55,2.841,822.6
56,2.795,822.6
57,2.749,823.2
58,2.704,824.6
59,2.658,822.9
60,2.613,831.7
61,2.567,828.8
62,2.522,822.9
63,2.476,825.4
64,2.476,823.6
65,2.384,824.2
66,2.340,823.4
67,2.295,824.6
68,2.295,829.3
69,2.203,828.1
70,2.157,828.1
71,2.157,824.3
72,2.065,825.6
73,2.020,827.6
74,1.972,829.3
75,1.928,827.6
76,1.882,827.3
77,1.836,830.9
78,1.790,829.6
79,1.744,829.5
80,1.699,832.7
81,1.699,833.1
82,1.610,834.9
83,1.565,835.9
84,1.521,837.0
85,1.476,837.6
86,1.434,837.6
87,1.434,838.8
88,1.346,840.4
89,1.302,842.7
90,1.258,842.2
91,1.215,843.8
92,1.173,844.6
93,1.173,847.3
94,1.087,848.1
95,1.044,848.7
96,1.001,850.5
97,0.960,850.4
98,0.960,852.7
99,0.918,854.7
100,0.833,854.4
101,0.790,855.3
102,0.749,856.7
103,0.707,857.5
104,0.665,855.7
105,0.623,858.2
106,0.582,859.8
107,0.539,859.4
108,0.499,860.3
109,0.457,860.1
110,0.414,861.6
111,0.414,861.6
112,0.330,861.8
113,0.330,862.9
114,0.247,858.7
115,0.207,862.6
116,0.166,861.6
117,0.123,861.5
118,0.082,861.3
119,0.040,861.5
120,-0.001,862.1
121,-0.042,860.5
122,-0.042,859.5
123,-0.125,858.3
124,-0.167,858.5
125,-0.207,858.6
126,-0.207,857.1
127,-0.292,856.1
128,-0.292,853.9
129,-0.375,854.9
130,-0.415,852.1
131,-0.457,852.3
132,-0.500,850.1
133,-0.540,849.1
134,-0.582,846.8
135,-0.625,846.1
136,-0.665,846.0
137,-0.709,844.2
138,-0.748,842.8
139,-0.791,841.6
140,-0.791,840.8
141,-0.873,838.9
142,-0.915,836.1
143,-0.957,836.1
144,-0.998,835.0
145,-1.040,834.7
146,-1.082,833.0
147,-1.123,831.7
148,-1.165,829.2
149,-1.206,826.6
150,-1.248,828.1
151,-1.290,825.4
152,-1.331,824.1
153,-1.373,822.2
154,-1.415,820.8
155,-1.456,820.9
156,-1.498,823.6
157,-1.498,824.5
158,-1.581,826.2
159,-1.623,822.8
160,-1.665,819.2
161,-1.706,818.0
162,-1.750,818.9
163,-1.790,819.6
164,-1.831,816.7
165,-1.873,818.2
166,-1.915,816.3
167,-1.956,816.8
168,-1.998,818.0
169,-2.040,816.2
170,-2.081,816.3
171,-2.123,816.0
172,-2.165,817.0
173,-2.205,813.6
174,-2.248,814.6
175,-2.289,815.3
176,-2.331,816.5
177,-2.373,816.0
178,-2.414,817.5
179,-2.456,813.9
180,-2.499,815.0
181,-2.539,815.7
182,-2.583,812.6
183,-2.623,808.9
184,-2.664,809.2
185,-2.706,813.1
186,-2.706,816.5
187,-2.789,815.0
188,-2.831,817.6
189,-2.873,814.7
190,-2.914,815.4
191,-2.956,812.4
192,-2.998,812.6
193,-3.038,812.4
194,-3.081,814.9
195,-3.121,814.3
196,-3.164,817.0
197,-3.206,812.2
198,-3.248,811.2
199,-3.289,813.0
200,-3.331,810.1
201,-3.372,812.0
202,-3.414,813.8
203,-3.456,818.5
204,-3.497,819.0
205,-3.539,812.5
206,-3.581,810.9
207,-3.581,810.6
208,-3.664,809.4
209,-3.706,810.4
210,-3.747,811.0
211,-3.789,815.3
212,-3.831,807.7
213,-3.871,810.7
214,-3.914,811.8
215,-3.954,814.7
216,-3.997,810.2
217,-4.039,814.9
218,-4.081,816.3
219,-4.122,815.8
220,-4.164,817.4
221,-4.164,811.9
222,-4.247,811.3
223,-4.289,812.6
224,-4.331,810.7
225,-4.372,807.6
226,-4.414,811.3
227,-4.456,812.7
228,-4.497,807.8
229,-4.539,812.9
230,-4.580,808.8
231,-4.622,809.4
232,-4.664,806.3
233,-4.705,807.9
234,-4.747,806.6
235,-4.789,809.0
236,-4.830,807.3
237,-4.871,806.9
238,-4.915,809.0
